isco2d,key_worker,migrant_origin,female
Cleaners and Helpers,key-worker,Native,0.8513299
Cleaners and Helpers,key-worker,EU mobile,0.8884916
Cleaners and Helpers,key-worker,Extra EU,0.8310816
Drivers and Mobile Plant Operators,key-worker,Native,0.053764
Drivers and Mobile Plant Operators,key-worker,EU mobile,0.0642515
Drivers and Mobile Plant Operators,key-worker,Extra EU,0.0303004
"Food Processing, etc.",key-worker,Native,0.3470895
"Food Processing, etc.",key-worker,EU mobile,0.2929579
"Food Processing, etc.",key-worker,Extra EU,0.2655091
Health associate professionals,key-worker,Native,0.8136986
Health associate professionals,key-worker,EU mobile,0.8436369
Health associate professionals,key-worker,Extra EU,0.8114275
Health Professionals,key-worker,Native,0.7236643
Health Professionals,key-worker,EU mobile,0.6872494
Health Professionals,key-worker,Extra EU,0.6075351
ICT Professionals,key-worker,Native,0.1575241
ICT Professionals,key-worker,EU mobile,0.1891813
ICT Professionals,key-worker,Extra EU,0.2186878
ICT Technicians,key-worker,Native,0.1497358
ICT Technicians,key-worker,EU mobile,0.1823761
ICT Technicians,key-worker,Extra EU,0.1372505
"Labourers in Mining, Contruction, Manuf., & Transport",key-worker,Native,0.2835428
"Labourers in Mining, Contruction, Manuf., & Transport",key-worker,EU mobile,0.3934959
"Labourers in Mining, Contruction, Manuf., & Transport",key-worker,Extra EU,0.256259
Market-oriented Skilled Agricultural  Workers,key-worker,Native,0.3355106
Market-oriented Skilled Agricultural  Workers,key-worker,EU mobile,0.3236936
Market-oriented Skilled Agricultural  Workers,key-worker,Extra EU,0.1606857
Market-oriented Skilled Forestry Fishery  & Hunting,key-worker,Native,0.0892578
Market-oriented Skilled Forestry Fishery  & Hunting,key-worker,EU mobile,0
Market-oriented Skilled Forestry Fishery  & Hunting,key-worker,Extra EU,0.038373
Personal Care Workers,key-worker,Native,0.8874698
Personal Care Workers,key-worker,EU mobile,0.9391464
Personal Care Workers,key-worker,Extra EU,0.8721771
Personal Service Workers,key-worker,Native,0.5076557
Personal Service Workers,key-worker,EU mobile,0.5697181
Personal Service Workers,key-worker,Extra EU,0.5410435
Refuse Workers,key-worker,Native,0.2129109
Refuse Workers,key-worker,EU mobile,0.201063
Refuse Workers,key-worker,Extra EU,0.1364543
Science & Eng. Associate Professionals,key-worker,Native,0.1660329
Science & Eng. Associate Professionals,key-worker,EU mobile,0.2087911
Science & Eng. Associate Professionals,key-worker,Extra EU,0.1612599
Science and Engineering Professional,key-worker,Native,0.2129181
Science and Engineering Professional,key-worker,EU mobile,0.2195546
Science and Engineering Professional,key-worker,Extra EU,0.2658911
Stationary Plant and Machine Operators,key-worker,Native,0.3495522
Stationary Plant and Machine Operators,key-worker,EU mobile,0.4759119
Stationary Plant and Machine Operators,key-worker,Extra EU,0.3469401
Teaching Professionals,key-worker,Native,0.7116659
Teaching Professionals,key-worker,EU mobile,0.6709322
Teaching Professionals,key-worker,Extra EU,0.6409183
,non key-worker,Native,0.4555036
,non key-worker,EU mobile,0.426841
,non key-worker,Extra EU,0.3816152
