country,key_worker,EU_mobile,non_EU_born,sum_share
AT,non key-worker,0.0952469,0.106245,0.2014919
AT,key-worker,0.1039243,0.1200096,0.2239339
BE,non key-worker,0.0895558,0.0815872,0.171143
BE,key-worker,0.086001,0.1062324,0.1922334
BG,non key-worker,0.0008975,0.0023123,0.0032098
BG,key-worker,0.0010733,0.004283,0.0053563
CY,non key-worker,0.1212525,0.0988707,0.2201232
CY,key-worker,0.1078553,0.1808896,0.288745
CZ,key-worker,0.0193671,0.0171755,0.0365426
CZ,non key-worker,0.0199193,0.0208665,0.0407858
DE,non key-worker,0.0722861,0.0986339,0.1709199
DE,key-worker,0.0886724,0.125124,0.2137964
DK,non key-worker,0.0468176,0.0740374,0.120855
DK,key-worker,0.0562945,0.0918353,0.1481299
EE,non key-worker,0.0098766,0.077365,0.0872417
EE,key-worker,0.0068335,0.1128407,0.1196743
EL,key-worker,0.0134416,0.0578075,0.0712491
EL,non key-worker,0.0154128,0.0689303,0.0843431
ES,non key-worker,0.0538373,0.1079452,0.1617826
ES,key-worker,0.0466791,0.122973,0.169652
FI,non key-worker,0.0221834,0.0270483,0.0492317
FI,key-worker,0.026411,0.0357303,0.0621413
FR,non key-worker,0.0325105,0.0822342,0.1147448
FR,key-worker,0.0382682,0.0950357,0.133304
HR,key-worker,0.0154204,0.0815906,0.0970109
HR,non key-worker,0.0193198,0.095198,0.1145179
HU,non key-worker,0.0147339,0.0069921,0.021726
HU,key-worker,0.0159363,0.0061521,0.0220885
IE,non key-worker,0.1695473,0.0665164,0.2360638
IE,key-worker,0.1703043,0.0924137,0.262718
IT,non key-worker,0.0375526,0.0879259,0.1254785
IT,key-worker,0.0597033,0.1226145,0.1823179
LT,non key-worker,0.0041479,0.0370221,0.04117
LT,key-worker,0.004781,0.0448187,0.0495997
LU,key-worker,0.4129249,0.1142088,0.5271337
LU,non key-worker,0.4955466,0.0967318,0.5922784
LV,non key-worker,0.0067872,0.0914583,0.0982455
LV,key-worker,0.0065811,0.0989786,0.1055596
NL,non key-worker,0.0331321,0.0767304,0.1098626
NL,key-worker,0.032532,0.0899491,0.1224811
PL,key-worker,0.0013329,0.0040149,0.0053478
PL,non key-worker,0.0011935,0.0052351,0.0064286
PT,non key-worker,0.0287418,0.0679491,0.0966909
PT,key-worker,0.0269252,0.0805485,0.1074737
RO,key-worker,0.0001939,0.0009958,0.0011897
RO,non key-worker,0.0002349,0.0011912,0.0014261
SE,non key-worker,0.0529818,0.1224975,0.1754793
SE,key-worker,0.0618999,0.1747456,0.2366455
SI,key-worker,0.0213562,0.046516,0.0678723
SI,non key-worker,0.0205271,0.0866407,0.1071678
SK,key-worker,0.0035964,0.0033323,0.0069287
SK,non key-worker,0.006092,0.0031783,0.0092704
