isco2d,key_worker,EU_mobile,non_EU_born,mode_skill_2cat_isco2d_EU,sum_share,axis
"Market-oriented Skilled Agricultural  Workers",1,.0209968,.0284294,"Low qualification",.0494262,"10"
"Market-oriented Skilled Forestry Fishery  & Hunting",1,.0123314,.0489541,"Low qualification",.0612855,"11"
"Science & Eng. Associate Professionals",1,.0338207,.0464687,"Low qualification",.0802894,"5"
"ICT Technicians",1,.0309148,.0500622,"Low qualification",.080977,"7"
"Teaching Professionals",1,.0358944,.0458401,"High qualification",.0817345,"3"
"Refuse Workers",1,.0275398,.0683267,"Low qualification",.0958665,"17"
"Health Professionals",1,.0407698,.0600852,"High qualification",.1008549,"2"
"Health associate professionals",1,.0445598,.0642605,"High qualification",.1088203,"6"
"Science and Engineering Professional",1,.0512642,.0601691,"High qualification",.1114334,"1"
,0,.0421839,.0713062,"Low qualification",.1134901,"."
"ICT Professionals",1,.0506834,.0851849,"High qualification",.1358683,"4"
"Personal Service Workers",1,.0561627,.0914241,"Low qualification",.1475869,"8"
"Drivers and Mobile Plant Operators",1,.0566019,.0963818,"Low qualification",.1529838,"14"
"Food Processing, etc.",1,.0592978,.1185016,"Low qualification",.1777993,"12"
"Personal Care Workers",1,.054822,.1366212,"Low qualification",.1914432,"9"
"Stationary Plant and Machine Operators",1,.0675306,.1300586,"Low qualification",.1975892,"13"
"Labourers in Mining, Contruction, Manuf., & Transport",1,.076677,.1640632,"Low qualification",.2407402,"16"
"Cleaners and Helpers",1,.1099417,.2617545,"Low qualification",.3716962,"15"
