isco3d,iscolabel
213,Life science professionals
214,Engineering professionals (excluding electrotechnology)
220,Health professionals
221,Medical doctors
222,Nursing and midwifery professionals
223,Traditional and complementary medicine professionals
224,Paramedical practitioners
226,Other health professionals
231,University and higher education teachers
232,Vocational education teachers
233,Secondary education teachers
234,Primary school and early childhood teachers
235,Other teaching professionals
250,Information and communications technology professionals
251,Software and applications developers and analysts
252,Database and network professionals
310,Science and engineering associate professionals
311,Physical and engineering science technicians
312,"Mining, manufacturing and construction supervisors"
313,Process control technicians
314,Life science technicians and related associate professionals
315,Ship and aircraft controllers and technicians
321,Medical and pharmaceutical technicians
322,Nursing and midwifery associate professionals
350,Information and communications technicians
351,Information and communications technology operations and user support technicians
352,Telecommunications and broadcasting technicians
511,"Travel attendants, conductors and guides"
516,Other personal services workers
530,Personal care workers
531,Child care workers and teachers' aides
532,Personal care workers in health services
610,Market-oriented skilled agricultural workers
611,Market gardeners and crop growers
612,Animal producers
613,Mixed crop and animal producers
622,"Fishery workers, hunters and trappers"
751,Food processing and related trades workers
816,Food and related products machine operators
831,Locomotive engine drivers and related workers
832,"Car, van and motorcycle drivers"
833,Heavy truck and bus drivers
835,Ships' deck crews and related workers
911,"Domestic, hotel and office cleaners and helpers"
912,"Vehicle, window, laundry and other hand cleaning workers"
933,Transport and storage labourers
961,Refuse workers
